LOC_SYSTEM_OPTION_MENU_START,======옵션======
LOC_SYSTEM_LUNATIC_PENALTY_DRINK,광기에 휩싸인 상태로 마실 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_READ,광기에 휩싸인 상태로 읽을 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_SPELL,광기에 휩싸인 상태로 마법은 쓸 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_THROW,광기에 휩싸인 상태로 던질 수 없다!
LOC_SYSTEM_GHOST_PENALTY,유령 상태에선 할 수 없다.
LOC_SYSTEM_GHOST_PENALTY_LEARN_SPELL,유령 상태에선 마법을 배울 수 없다.
LOC_SYSTEM_GHOST_PENALTY_SWAP_WEAPON,유령 상태에선 무기를 바꿀 수 없다.
LOC_SYSTEM_GHOST_PENALTY_SWAP_EQUIP,유령 상태에선 장비를 바꿀 수 없다.
LOC_SYSTEM_GHOST_PENALTY_SWAP_ARMOUR,유령 상태에선 방어구를 바꿀 수 없다.
LOC_SYSTEM_GHOST_PENALTY_TAKEOFF_ARMOUR,유령 상태에선 방어구를 벗을 수 없다.
LOC_SYSTEM_GHOST_PENALTY_EQUIP_JEWELRY,유령 상태에선 장신구를 낄 수 없다.
LOC_SYSTEM_GHOST_PENALTY_TAKEOFF_JEWELRY,유령 상태에선 장신구를 벗을 수 없다.
LOC_SYSTEM_GHOST_PENALTY_PICKUP,유령 상태에선 무언가를 주울 수 없다.
LOC_SYSTEM_GHOST_PENALTY_DISCRAD,유령 상태에선 무언가를 버릴 수 없다.
LOC_SYSTEM_GHOST_PENALTY_EAT,유령 상태에선 무언가를 먹을 수 없다.
LOC_SYSTEM_GHOST_PENALTY_DRINK,유령 상태에선 무언가를 마실 수 없다.
LOC_SYSTEM_GHOST_PENALTY_READ,유령 상태에선 무언가를 읽을 수 없다.
LOC_SYSTEM_GHOST_PENALTY_ATTACK,유령 상태에선 적을 공격할 수 없다.
LOC_SYSTEM_GHOST_PENALTY_SPELL,유령 상태에선 마법을 쓸 수 없다.
LOC_SYSTEM_GHOST_PENALTY_THROW,유령 상태에선 무언가를 던질 수 없다.
LOC_SYSTEM_SILENCE_PENALTY,당신은 소리를 낼 수 없다.
LOC_SYSTEM_SHOUT_MENU,무엇을 외치겠습니까?
LOC_SYSTEM_SHOUT_MENU_ALLY,아군에게 명령
LOC_SYSTEM_SHOUT_MENU_ATTACK,공격해라!
LOC_SYSTEM_SHOUT_MENU_STOP,공격을 멈춰!
LOC_SYSTEM_SHOUT_MENU_WAIT,대기해라.
LOC_SYSTEM_SHOUT_MENU_COME,따라와라.
LOC_SYSTEM_SHOUT_MENU_OTHRE,그외의 키
LOC_SYSTEM_SHOUT_MENU_SILENCE,조용히 한다.
LOC_SYSTEM_SHOUT,소리 지르기
LOC_SYSTEM_SHOUT_RARE1,원망스러워라!
LOC_SYSTEM_SHOUT_RARE2,안녕하세요!
LOC_SYSTEM_SHOUT_RARE3,만세!
LOC_SYSTEM_SHOUT_RARE4,야호!
LOC_SYSTEM_SHOUT_RARE5,와!
LOC_SYSTEM_SHOUT_DROWNED,살려줘!
LOC_SYSTEM_SHOUT_ATTACK,공격!
LOC_SYSTEM_SHOUT_STOP,멈춰!
LOC_SYSTEM_SHOUT_WAIT,기다려!
LOC_SYSTEM_SHOUT_COME,따라와!
LOC_SYSTEM_SHOUT_FINISH,당신은 소리를 쳐서 주의를 끌었다.
LOC_SYSTEM_SHOUT_WHO,누구를 공격하게 명령하시겠습니까?
LOC_SYSTEM_SHOUT_CANCLE,아무것도 외치지 않았다.
LOC_SYSTEM_AUTOTRAVEL_BAMBOO,이 곳에서는 자동으로 탐색할 수 없어 보인다.
LOC_SYSTEM_AUTOPICKUP_ON,자동 줍기를 활성화했다.
LOC_SYSTEM_AUTOPICKUP_OFF,자동 줍기를 해제했다. ({0} 키로 다시 활성화 가능)
LOC_SYSTEM_AUTOEXPLORE_WHERE,어느 던전으로 이동해볼까? (대문자로 마지막층)
LOC_SYSTEM_DONE_EXPLORE,탐색 완료
LOC_SYSTEM_NONE_STRING,없음
LOC_SYSTEM_DUNGEON,던전
LOC_SYSTEM_DUNGEON_TEMPLE,신전
LOC_SYSTEM_DUNGEON_MISTYLAKE,안개의 호수
LOC_SYSTEM_DUNGEON_YOUKAI_MOUNTAIN,요괴의 산
LOC_SYSTEM_DUNGEON_YUKKURI,윳쿠리둥지
LOC_SYSTEM_DUNGEON_SCARLET,홍마관
LOC_SYSTEM_DUNGEON_SCARLET_LIBRARY,홍마관 도서관
LOC_SYSTEM_DUNGEON_SCARLET_UNDER,홍마관 지하실
LOC_SYSTEM_DUNGEON_BAMBOO,미궁의 죽림
LOC_SYSTEM_DUNGEON_EINENTEI,영원정
LOC_SYSTEM_DUNGEON_DEPTH,짐승길
LOC_SYSTEM_DUNGEON_DREAM,꿈의 세계
LOC_SYSTEM_DUNGEON_MOON,달의 도시
LOC_SYSTEM_DUNGEON_SUBTERRANEAN,지저
LOC_SYSTEM_DUNGEON_SUBRERRANEAN_LAST,작열지옥터
LOC_SYSTEM_DUNGEON_PANDEMONIUM,마계
LOC_SYSTEM_DUNGEON_PANDEMONIUM_LAST,판데모니엄
LOC_SYSTEM_DUNGEON_HOKKAI,법계
LOC_SYSTEM_DUNGEON_FROZEN_FIELD,빙결세계
LOC_SYSTEM_DUNGEON_HAKUREI,하쿠레이신사
LOC_SYSTEM_DUNGEON_FLOOR,{0}층
LOC_SYSTEM_DUNGEON_LAST_FLOOR,최하층
LOC_SYSTEM_BUG,버그
LOC_SYSTEM_BUT_NOTHING_HAPPEND,그러나 아무일도 일어나지 않았다.
LOC_SYSTEM_REST_START,휴식을 시작합니다.
LOC_SYSTEM_REST_HP,체력이 회복되었다.
LOC_SYSTEM_REST_MP,영력이 회복되었다.
LOC_SYSTEM_REST_DONE,휴식 완료
LOC_SYSTEM_READ_SCROLL,{0:을|를} 읽었다.
LOC_SYSTEM_HEALED,{0:은|는} 회복되었다.
LOC_SYSTEM_HEALED2,회복되었다.
LOC_SYSTEM_IDENTIFY_ITEM,이것은 {0:이다|다}.
LOC_SYSTEM_UNEQUIP_ITEM,{0:을|를} 벗었다.
LOC_SYSTEM_EQUIP_PANALTY1,당신의 방어구는 편한 편이다.
LOC_SYSTEM_EQUIP_PANALTY2,당신의 방어구는 불편하다.
LOC_SYSTEM_EQUIP_PANALTY3,당신의 방어구는 매우 불편하다.
LOC_SYSTEM_EQUIP_PANALTY4,방어구가 당신을 입고있다.
LOC_SYSTEM_EXPERIENCE_SHOW_LEVEL,당신은 {0}레벨 {1} {2}입니다.
LOC_SYSTEM_EXPERIENCE_SHOW_REMAIN,다음 레벨까지 {0}의 경험치가 남았습니다.
LOC_SYSTEM_EXPERIENCE_SHOW_MAX,당신은 현재 최고 레벨에 도달해있습니다.
LOC_SYSTEM_DROP_ITEM,당신은 {0:을|를} 내려놓았다.
LOC_SYSTEM_DROP_ITEM_SION_ALL,그러나 빈곤신의 저주로 사라졌다.
LOC_SYSTEM_DROP_ITEM_SION_SOME,빈곤신의 저주로 {0}개가 사라졌다.
LOC_SYSTEM_HOTKEY,단축키
LOC_SYSTEM_NAME,이름
LOC_SYSTEM_SKILL_NAME,스킬명
LOC_SYSTEM_SCHOOL,학파
LOC_SYSTEM_NOISE,소음
LOC_SYSTEM_NOISE_NONE,없음
LOC_SYSTEM_NOISE_QUIET,작음
LOC_SYSTEM_NOISE_MODERATE,보통
LOC_SYSTEM_NOISE_LOUD,큼
LOC_SYSTEM_NOISE_VERY_LOUD,굉장함
LOC_SYSTEM_NOISE_DEAFENING,소음공해
LOC_SYSTEM_RANGE,사거리
LOC_SYSTEM_TILE,칸
LOC_SYSTEM_TILES,칸
LOC_SYSTEM_CURRENT_EXP,현재
LOC_SYSTEM_ATTIT,적성
LOC_SYSTEM_COST,비용
LOC_SYSTEM_SKILL_JUNKA,순화
LOC_SYSTEM_SUCCESS_RATE,성공률
LOC_SYSTEM_FAILURE_RATE,실패율
LOC_SYSTEM_REMAIN_EXP,다음레벨까지
LOC_SYSTEM_LEVEL,레벨
LOC_SYSTEM_LEVEL_WITH_NUMBER,{0}레벨
LOC_SYSTEM_MAX_LEVEL,최고 레벨
LOC_SYSTEM_GRADE,{0}단계
LOC_SYSTEM_REPLAY_MODE,리플레이 중
LOC_SYSTEM_WIZARD_MODE,위자드 모드
LOC_SYSTEM_SAVEREMAIN_MODE,세이브 보존
LOC_SYSTEM_COMMAND,명령어
LOC_SYSTEM_DESCRIPTION,설명
LOC_SYSTEM_CANCLE,취소
LOC_SYSTEM_EXPLORE,탐색
LOC_SYSTEM_DANGER,위험구역설정
LOC_SYSTEM_STAIR_TRAVEL,빠른 계단찾기
LOC_SYSTEM_MONSTER,몬스터
LOC_SYSTEM_DAMAGE,데미지
LOC_SYSTEM_SUCCESS_PERCENT,성공확률
LOC_SYSTEM_IMPOSSIBLE,불가능
LOC_SYSTEM_AHTEISM,무신앙
LOC_SYSTEM_FAITH,신앙
LOC_SYSTEM_POULARITY,인기도
LOC_SYSTEM_YOU,당신
LOC_SYSTEM_TURN,턴
LOC_SYSTEM_TURNS,턴
LOC_SYSTEM_SHORT_STR,힘
LOC_SYSTEM_SHORT_DEX,민첩
LOC_SYSTEM_SHORT_INT,지능
LOC_SYSTEM_SHORT_POWER,파워
LOC_SYSTEM_SHORT_FIRE_RESIST,화염저항
LOC_SYSTEM_SHORT_COLD_RESIST,냉기저항
LOC_SYSTEM_SHORT_ELEC_RESIST,전기저항
LOC_SYSTEM_SHORT_POISON_RESIST,독저항
LOC_SYSTEM_SHORT_CONFUSE_RESIST,혼란저항
LOC_SYSTEM_SHORT_SEE_INVISIBLE,투명보기
LOC_SYSTEM_SHORT_POWER_KEEP,파워유지
LOC_SYSTEM_SHORT_MAGIC_RESIST,마법저항
LOC_SYSTEM_SLEEP,수면
LOC_SYSTEM_REST,휴식
LOC_SYSTEM_EXPLORING,탐험중
LOC_SYSTEM_CANT_DETECTED,발각안됨
LOC_SYSTEM_CONFUSE,혼란
LOC_SYSTEM_POISON,독
LOC_SYSTEM_MIGHT,힘강화
LOC_SYSTEM_CLEVER,영력강화
LOC_SYSTEM_HASTE,가속
LOC_SYSTEM_SLOW,감속
LOC_SYSTEM_SUMMONED,소환
LOC_SYSTEM_FROZEN,빙결
LOC_SYSTEM_ALLY,우호
LOC_SYSTEM_ELEC,방전
LOC_SYSTEM_PARALYSE,마비
LOC_SYSTEM_GLOW,빛남
LOC_SYSTEM_GRAZE,그레이즈
LOC_SYSTEM_SILENCE,정적
LOC_SYSTEM_SICK,병
LOC_SYSTEM_VEILING,베일링
LOC_SYSTEM_INVISIVLE,투명
LOC_SYSTEM_TELE,공간불안정
LOC_SYSTEM_MUTE,벙어리
LOC_SYSTEM_CATCH,잡힘
LOC_SYSTEM_GHOST,영혼구속
LOC_SYSTEM_FEAR,공포
LOC_SYSTEM_STRONG_FEAR,전의상실
LOC_SYSTEM_MIND_READING,간파
LOC_SYSTEM_LUNATIC,광기
LOC_SYSTEM_ALLY_CALL,동료부르기
LOC_SYSTEM_ENHANCE,강화
LOC_SYSTEM_WEAKENING,약화
LOC_SYSTEM_CHANGED,둔갑중
LOC_SYSTEM_INVINCIBILITY,무적
LOC_SYSTEM_HP_VERY_LOW,죽기 직전
LOC_SYSTEM_HP_LOW,심각한 부상
LOC_SYSTEM_HP_MIDDLE,상당한 부상
LOC_SYSTEM_HP_HIGH,가벼운 부상
LOC_SYSTEM_HP_VERY_HIGH,거의 멀쩡함
LOC_SYSTEM_BUFF_EQUIP_PENALTY,장비패널티
LOC_SYSTEM_BUFF_EIRIN_POISON,부작용
LOC_SYSTEM_BUFF_STASIS,전이불가
LOC_SYSTEM_BUFF_RFIRE,화저{0}
LOC_SYSTEM_BUFF_RCOLD,냉저{0}
LOC_SYSTEM_BUFF_RELEC,뇌저{0}
LOC_SYSTEM_BUFF_RPOIS,독저{0}
LOC_SYSTEM_BUFF_RCONF,혼란저{0}
LOC_SYSTEM_BUFF_SLAY,전투력
LOC_SYSTEM_BUFF_SLEEPING,졸음
LOC_SYSTEM_SMOKE_NORMAL,옅은 연기
LOC_SYSTEM_SMOKE_FOG,안개 구름
LOC_SYSTEM_SMOKE_FIRE,화염 구름
LOC_SYSTEM_SMOKE_COLD,냉기 구름
LOC_SYSTEM_SMOKE_ELEC,전기 구름
LOC_SYSTEM_SMOKE_DARK,암흑 구름
LOC_SYSTEM_SMOKE_SION,빈곤 구름
LOC_SYSTEM_SMOKE_POISON,독 구름
LOC_SYSTEM_SMOKE_CONFUSE,혼란 구름
LOC_SYSTEM_SMOKE_SLOW,스위트 포이즌
LOC_SYSTEM_SMOKE_TWIST,트위스트
LOC_SYSTEM_SMOKE_WHIRLWIND,회오리바람
LOC_SYSTEM_SMOKE_CURSE,저주 구름
LOC_SYSTEM_SMOKE_BLIZZARD,블리자드
LOC_SYSTEM_MANY_ITEMS,많은 아이템들
LOC_SYSTEM_TERRAIN_UNSEEN,보이지 않는 곳
LOC_SYSTEM_TERRAIN,지형
LOC_SYSTEM_TERRAIN_SILENCE,정적
LOC_SYSTEM_TERRAIN_VIOLET,바이올렛필드
LOC_SYSTEM_TERRAIN_SANCTUARY,성역
LOC_SYSTEM_ON_THE_TERRAIN,{0}의 위에 서있다.
LOC_SYSTEM_ON_THE_ITEM_SINGLE,여기엔 {0:이|가} 있다. (,키로 줍기)
LOC_SYSTEM_ON_THE_ITEM_MULTIPLE,여기엔 {0:이|가} 있다. (,키로 줍기)
LOC_SYSTEM_ON_THE_ITEM_SOME,여기엔 다음과 같은 물건이 있다. (,키로 줍기)
LOC_SYSTEM_ON_THE_ITEM_MANY,여기엔 여러개의 물건이 있다. (,키로 줍기)
LOC_SYSTEM_ASK_CLOSE_DOOR,어느 쪽 문을 닫을꺼지?
LOC_SYSTEM_CLOSE_DOOR,문을 닫았다.
LOC_SYSTEM_CLOSE_DOOR_FAIL,무엇인가가 닫을려는데 방해되고 있다.
LOC_SYSTEM_CLOSE_DOOR_EMPTY,그 곳엔 닫을 수 있는 것이 없다!
LOC_SYSTEM_CLOSE_DOOR_NONE,근처에 닫을만한 것이 없다.
LOC_SYSTEM_ASK_OPEN_DOOR,어느 쪽 문을 열꺼지?
LOC_SYSTEM_OPEN_DOOR,문을 열었다.
LOC_SYSTEM_REALLY_OPEN_DOOR,정말 열거야?(y/n)
LOC_SYSTEM_OPEN_DOOR_EMPTY,그곳엔 열 수 있는 것이 없다!
LOC_SYSTEM_OPEN_DOOR_NONE,근처에 열만한 것이 없다.
LOC_SYSTEM_MONSTER_OPEN_DOOR,{0:은|는} 문을 열었다.
LOC_SYSTEM_SUDDENLY_OPEN_DOOR,문이 열렸다.
LOC_SYSTEM_DIMENSION_STAIR,결계로 인해 계단을 이용할 수 없다!
LOC_SYSTEM_DIMENSION_STAIT_WARN,계단을 이용하면 차원고정이 풀립니다. 진짜로 이용합니까?(Y/N)
LOC_SYSTEM_STAIR_SUBDUNGEON_WARN,여긴 정말 위험해보인다. 그래도 내려갈거야?(Y/N)
LOC_SYSTEM_STAIR_SUBDUNGEON_MAZE,이 곳은 들어가면 바로는 나오기 힘들어보인다. 그래도 내려갈거야?(Y/N)
LOC_SYSTEM_STAIR_SUBDUNGEON_RUNE,여기서 빠져나가면 이 층의 룬은 다신 얻을 수 없다. 정말로 나갈거야?(Y/N)
LOC_SYSTEM_STAIR_SUBDUNGEON_ZIGURRAT,이 곳은 룬은 없지만 한번만 들어갈 수 있는 악몽의 던전이다. 준비되었어? (Y/N)
LOC_SYSTEM_STAIR_SUBDUNGEON_ZIGURRAT_ALREADY,이미 들어간 적이 있으면 더 이상 들어갈 수 없어!
LOC_SYSTEM_STAIR_THREE_RUNE,이 곳을 들어가기위해선 3개의 룬이 필요하다!
LOC_SYSTEM_STAIR_THREE_RUNE_OPEN,당신은 3개의 룬을 입구에 꽂았다. 소음을 일으키며 문이 열렸다!
LOC_SYSTEM_STAIR_CANT_UP,여기선 올라갈 수 없다.
LOC_SYSTEM_STAIR_CANT_DOWN,여기선 내려갈 수 없다.
LOC_SYSTEM_STAIR_DOWN,계단을 내려왔다.
LOC_SYSTEM_STAIR_UP,계단을 올라왔다.
LOC_SYSTEM_STAIR_LOWEST_DOWN,더 이상 내려갈 수 없다.
LOC_SYSTEM_STAIR_ESCAPE_WARN,음양옥을 줍기전까진, 당신은 게임 패배로 인정될거야. 그래도 나갈거야?(Y/N)
LOC_SYSTEM_STAIR_ESCAPE_LAST_QUESTION,정말로 던전을 탈출하여 승리를 확정하겠습니까?(Y/N)
LOC_SYSTEM_STAIR_RETURN,던전으로 돌아왔다.
LOC_SYSTEM_STAIR_EMPTY,여기엔 계단이 없다.
LOC_SYSTEM_DISPLAY_MANAGER_NORMAL_ITEM,무슨 아이템을 고르겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_EQ_WEAPON,무슨 무기를 장착하시겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_EQ_ARMOUR,무슨 방어구를 장착하겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_UEQ_ARMOUR,무슨 방어구를 벗겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_EQ_JEWELRY,무슨 장신구를 장착하겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_UEQ_JEWELRY,무슨 장신구를 벗겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_PICK,무슨 아이템을 줍겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_DISCARD,무슨 아이템을 버리겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_FOOD,무엇을 먹겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_DRINK,무엇을 마시겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_EVOKE,무엇을 발동하겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_READ,무엇을 읽겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_ITEMINFOR,무슨 아이템을 확인하겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_GAMEOVER,당신의 아이템
LOC_SYSTEM_DISPLAY_MANAGER_USE,무엇을 사용하겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_USE_TO,무슨 아이템에 사용하겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_IDEN,무슨 아이템을 식별하겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_ARMOUR,무슨 방어구를 고르시겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_ENCHANT_ARMOUR,무슨 방어구를 강화하겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_JEWELRY,무슨 장신구를 고르시겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_JUNKO,무슨 아이템을 순화할거야?
LOC_SYSTEM_DISPLAY_MANAGER_JUNKO_SKILL,어떤 스킬을 순화할거지?
LOC_SYSTEM_DISPLAY_MANAGER_CHARGING_SPELLCARD,무슨 스펠카드를 충전하시겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_THROW,무엇을 던지겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_USE_SPELL,사용할 마법을 선택하세요. (?키로 설명을 볼 수 있다.)
LOC_SYSTEM_DISPLAY_MANAGER_FORGET_SPELL,잊을 마법을 선택하세요. (?키로 설명을 볼 수 있다.)
LOC_SYSTEM_DISPLAY_MANAGER_INFO_SPELL,설명을 볼 마법을 선택하세요. (?키로 마법을 사용)
LOC_SYSTEM_DISPLAY_MANAGER_INFO_SPELL_SIMPLE,설명을 볼 마법을 선택하세요.
LOC_SYSTEM_DISPLAY_MANAGER_IDEN_VIEW,식별된 아이템 & 자동 줍기 설정
LOC_SYSTEM_DISPLAY_MANAGER_NO_IDEN,식별된 아이템이 없습니다.
LOC_SYSTEM_DISPLAY_MANAGER_PROPERTY_VIEW,당신의 특성들 (알파벳을 누르면 상세한 정보가 나옵니다.)
LOC_SYSTEM_DISPLAY_MANAGER_PROPERTY,특성
LOC_SYSTEM_DISPLAY_MANAGER_EFFECT,효과
LOC_SYSTEM_DISPLAY_MANAGER_NO_PROPERTY,당신의 특성이 없습니다.
LOC_SYSTEM_DISPLAY_MANAGER_SKILL_VIEW_USE,어느 스킬을 사용하겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_SKILL_VIEW_INFO,어느 스킬의 설명을 보시겠습니까?
LOC_SYSTEM_DISPLAY_MANAGER_SKILL_HELP_INFO,{0}나 {1}를 눌러서 설명을 볼 수 있습니다.
LOC_SYSTEM_DISPLAY_MANAGER_SKILL_HELP_USE,{0}나 {1}를 눌러서 스킬 사용을 할 수 있습니다.
LOC_SYSTEM_DISPLAY_MANAGER_ATTITUDE_HELP1,현재 당신의 스킬레벨을 확인하고 경험치 분배 비율을 조절할 수 있습니다.
LOC_SYSTEM_DISPLAY_MANAGER_ATTITUDE_HELP2,알파벳 키를 눌러서 원하는 스킬로 경험치를 분배할 수 있습니다.
LOC_SYSTEM_DISPLAY_MANAGER_ATTITUDE_DEBUG,[현재 경험치 패널티 {0}]
LOC_SYSTEM_UI_RUNE_TITLE,얻어야할 룬
LOC_SYSTEM_UI_RUNE_NAME,{0}의 룬
LOC_SYSTEM_UI_RUNE_GAIN,획득
LOC_SYSTEM_UI_RUNE_WIN,음양옥을 얻었습니다! 탈출하세요!
LOC_SYSTEM_UI_RUNE_NOT_WIN,아직 음양옥을 얻지 못했습니다.
LOC_SYSTEM_UI_RUNE_WIN_CONDITION,룬을 3개이상먹으면 음양옥이 있는 하쿠레이 신사의 문이 열립니다.
LOC_SYSTEM_UI_NONE,없음
LOC_SYSTEM_UI_CANT_EQUIP,착용불가
LOC_SYSTEM_UI_WEAPON,무기
LOC_SYSTEM_UI_UNARMED,맨손
LOC_SYSTEM_UI_TANMAC,탄막
LOC_SYSTEM_UI_BODY,몸통
LOC_SYSTEM_UI_HEAD,머리
LOC_SYSTEM_UI_SHIELD,방패
LOC_SYSTEM_UI_CLOAK,망토
LOC_SYSTEM_UI_HAND,손
LOC_SYSTEM_UI_FOOT,발
LOC_SYSTEM_UI_AMULET,목걸이
LOC_SYSTEM_UI_LEFT_RING,왼반지
LOC_SYSTEM_UI_RIGHT_RING,오른반지
LOC_SYSTEM_UI_DUNGEON_VIEW,던전 진행도
LOC_SYSTEM_UI_LEARN_SPELL_REMAIN,당신은 {0}개의 마법을 배우고 있으며 {1}의 마법 레벨이 남았다.
LOC_SYSTEM_WELL_THINK,잘 생각했다.
LOC_SYSTEM_WISDOM,현명하군!
LOC_SYSTEM_CONTINUE_CRAWL,계속하도록!
LOC_SYSTEM_CONTINUE_EXPRO,계속 탐험하도록!
LOC_SYSTEM_GOOD_CHOICE,좋은 선택이야!
LOC_SYSTEM_NEED_PREPARATION,좀 더 신중히 준비하도록!
LOC_SYSTEM_OK,알겠어!
LOC_SYSTEM_MON_RED_DESIRE,빨간 신령
LOC_SYSTEM_MON_BLUE_DESIRE,파란 신령
LOC_SYSTEM_MON_GREEN_DESIRE,초록 신령
LOC_SYSTEM_MON_POISONED,{0:은|는} 독에 걸렸다.
LOC_SYSTEM_MON_MORE_POISONED,{0}의 독은 심해졌다.
LOC_SYSTEM_MON_TELE,{0}의 주변 공간이 불안정해졌다.
LOC_SYSTEM_MON_TELE_STABLE,{0}의 주변 공간은 안정을 되찾았다.
LOC_SYSTEM_MON_MIGHT,{0:은|는} 힘이 강해졌다.
LOC_SYSTEM_MON_MORE_MIGHT,{0:은|는} 힘이 더욱 강해졌다.
LOC_SYSTEM_MON_HASTE,{0:은|는} 빨라졌다.
LOC_SYSTEM_MON_MORE_HASTE,{0:은|는} 빨라졌다.
LOC_SYSTEM_MON_CONFUSE,{0:은|는} 혼란스러워졌다.
LOC_SYSTEM_MON_MORE_CONFUSE,{0:은|는} 더욱 혼란스러워졌다.
LOC_SYSTEM_MON_SLOW,{0:은|는} 느려졌다.
LOC_SYSTEM_MON_MORE_SLOW,{0:은|는} 더욱 느려졌다.
LOC_SYSTEM_MON_FROZEN,{0:은|는} 얼어붙어 움직임이 둔해졌다.
LOC_SYSTEM_MON_MORE_FROZEN,{0:은|는} 더욱 얼어붙어 움직임이 둔해졌다.
LOC_SYSTEM_MON_CHARM,{0:은|는} 매료되었다.
LOC_SYSTEM_MON_MORE_CHARM,{0:은|는} 더욱 매료되었다.
LOC_SYSTEM_MON_DISCARGE,{0:은|는} 방전되고있다.
LOC_SYSTEM_MON_MORE_DISCARGE,{0:은|는} 방전되고있다.
LOC_SYSTEM_MON_PARALYSE,{0:은|는} 마비되었다.
LOC_SYSTEM_MON_GLOW,{0:은|는} 빛나고있다.
LOC_SYSTEM_MON_MORE_GLOW,{0:은|는} 더욱 빛나고있다.
LOC_SYSTEM_MON_GRAZE,{0:은|는} 그레이즈를 하기 시작했다.
LOC_SYSTEM_MON_MORE_GRAZE,{0:은|는} 그레이즈를 하기 시작했다.
LOC_SYSTEM_MON_SILENCE,{0:은|는} 주변의 소리를 지웠다.
LOC_SYSTEM_MON_SICK,{0:은|는} 병에 걸렸다.
LOC_SYSTEM_MON_MORE_SICK,{0}의 병은 심해졌다.
LOC_SYSTEM_MON_VEILING,{0:은|는} 바람을 감쌌다.
LOC_SYSTEM_MON_MORE_VEILING,{0:을|를} 감싸는 바람이 강해졌다.
LOC_SYSTEM_MON_INVISIBLE,{0:은|는} 투명하게 변한다.
LOC_SYSTEM_MON_MORE_INVISIBLE,{0:은|는} 더욱 투명하게 변한다.
LOC_SYSTEM_MON_INVISIBLE_WARNING,{0:은|는} 투명해지면서 사라졌다.
LOC_SYSTEM_MON_MUTE,{0:은|는} 벙어리가 되었다.
