LOC_SYSTEM_TITLE_TOUHOUCRAWL,Touhou Crawl
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_MOKOU4,初心者向けヒント）2回までなら死亡しても復活できます。復活時にHPとMPが回復し爆発が発生します。\n死なずにレベル9と18に到達すると復活能力が1つずつ消えます。だから死を恐れないで！
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_NITORI1,太古！三畳紀の河童。アイテムの力で切り開け！
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_NITORI2,適性ボーナス）鈍器適性 +2、発動適性 +1
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_NITORI3,ボーナス）布の河童服、空中魚雷、ネシのオカルト札を持ってスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_NITORI4,初心者向けヒント）Vキーで発動アイテムを使えます。空中魚雷は遠距離弾幕を発射します。\n装備中のオカルト札は経験値で充電され、100％になるとVキーでネシを出撃させられます。\n発動アイテムは永続ですがMP消費が激しいので使いすぎに注意。強敵と戦うときに使いましょう。
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_FAIRIES1,妖精大戦争！光の三妖精。1人より仲間と戦え！
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_FAIRIES2,ボーナス）リリィを信じて他の2人の妖精と共にスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_FAIRIES3,初心者向けヒント）常に仲間と一緒に戦えます。仲間が倒れても経験値を得れば復活します。\naキーで神の権能を使えます。新たな妖精仲間を得たり、仲間を呼び出して戦いましょう。\n仲間が敵を倒しても経験値は変わりません。自分の安全を最優先に！
LOC_SYSTEM_MAINMENU_MAINGAME_TRIBE_SELECT,種族を選択します。
LOC_SYSTEM_MAINMENU_MAINGAME_TRIBE_HUMAN,平均的なステータスと適性。レベルアップが早い。
LOC_SYSTEM_MAINMENU_MAINGAME_TRIBE_WIZARD,種族としての魔法使い。近接戦闘が苦手で魔法に長ける。
LOC_SYSTEM_MAINMENU_MAINGAME_TRIBE_FAIRY,元素魔法に優れるが非常に脆く、小柄なため重装は着られない。\n高速なHP/MP回復と高いステルス性を持ち、雲のダメージを半減する。
LOC_SYSTEM_MAINMENU_MAINGAME_TRIBE_CROWTENGU,飛行可能。良好な戦闘能力と高い風魔法適性を持つ。
LOC_SYSTEM_MAINMENU_MAINGAME_TRIBE_WOLFTENGU,体力が10％高く、近接戦闘に非常に優れる。魔法は不得手。\n強力な顎の変異で近接攻撃に追加攻撃が可能。
LOC_SYSTEM_MAINMENU_MAINGAME_TRIBE_KAPPA,高い槍スキルと水泳能力を持つ。\n火と地以外の魔法にそこそこ適性があり、特に高い発動適性を持つ。
LOC_SYSTEM_MAINMENU_MAINGAME_TRIBE_NECOMATA,素早い移動速度と爪による素手戦闘に優れる。\n体力は低く、武器・防具・盾は扱いが苦手。\n属性魔法は不得意だが、錬金・精神魔法、特に転移魔法に長ける。
LOC_SYSTEM_MAINMENU_MAINGAME_TRIBE_OARFISH,移動速度は遅いが高い体力と、レベルに応じて硬くなる鱗の変異を持つ。\n武器適性は低いが魔法適性は平均的で、大気魔法に特に優れる。\n水泳可能で電気耐性を1段階所持。
LOC_SYSTEM_MAINMENU_MAINGAME_TRIBE_CHEUKUMOGAMI,小柄な体で毒耐性を持ってスタート。\n戦闘適性は良好だが魔法適性は低い。
LOC_SYSTEM_MAINMENU_MAINGAME_TRIBE_ONI,高い戦闘力を持つが武器と魔法の扱いは苦手。\n体が大きく重装は装備できないが、体力が多く角で追加ダメージを与える。
LOC_SYSTEM_MAINMENU_MAINGAME_TRIBE_HALFYOUKAI,成長が遅く、全体的に適性は低いが、成長することで\n妖怪の特性が発現し、徐々に強くなる。レベル4、9、13、18で特性を得る。\nレベル4でどの妖怪の血を引いているかが明らかになり、以後の特性はそれに応じて決定される。
LOC_SYSTEM_MAINMENU_MAINGAME_TRIBE_WRAITH,冷気耐性と毒耐性を持って開始し、高い隠密能力を持つ。\n全体的な適性は低いが、体力適性は他の種族に比べて良好。
LOC_SYSTEM_MAINMENU_MAINGAME_TRIBE_VAMPIRE,高いHP回復力と低いMP回復力を持ち、HPを消費して魔法を使う。\n戦闘・隠密・回避適性は高いが、武器と防具の適性は低い。魔法適性は全体的に悪くないが、\n錬金術には不向きで召喚術の適性が高い。透明視を持ち、MPの自然消費が早い。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_SELECT,職業を選択します。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_WARRIOR,典型的な近接戦闘を得意とする重装戦士。\n選択した武器と重い盾、鎧を装備してスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_WIZARD,さまざまな状況に対応できる魔法を幅広く使う。\n初心者用の魔法書を持ち、魔法弾幕を習得してスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_SHAMAN,神奈子の巫女として、その力を借りて戦う近接職。\n武器は御幣（鈍器）を装備し、巫女装束と共に神奈子を信じてスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_GLADIATOR,遠距離と近距離をバランスよく使う回避型の戦士。\n選択した武器といくつかの弾幕、小型の盾を持ってスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_MONK,素手格闘に才能を持つ格闘家。\n高い素手格闘スキルを習得してスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_CRUSADER,魔法と近接戦を両立するバフ系魔法戦士。\n選んだ武器と初心者用の魔戦士の書、「ヴェイリング」を習得してスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_BERSERKER,極端なステータスと非常に攻撃的な装備でスタートする職。\n斧とローブを装備し、力のポーションを2個所持。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_FIRE_WIZARD,炎を操る火炎魔法を習得してスタートする元素魔法使い。\n初心者用火炎術士の書を持ち、火の魔法を習得。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_COLD_WIZARD,冷気を操る冷気魔法を習得してスタートする元素魔法使い。\n初心者用冷気術士の書を持ち、冷気魔法を習得。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_EARTH_WIZARD,大地を操る地魔法を習得してスタートする元素魔法使い。\n初心者用地術士の書を持ち、岩拳を習得。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_AIR_WIZARD,大気と雷を操る魔法を習得してスタートする元素魔法使い。\n初心者用大気術士の書を持ち、電撃魔法を習得。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_SUMMON_WIZARD,召喚獣を操る召喚魔法を習得してスタートする魔法使い。\n初心者用召喚術士の書を持ち、「モオク召喚」を習得。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_ALCHEMIST,錬金術を用いて近接戦闘を行う魔法使い兼錬金術士。\n初心者用錬金術士の書を持ち、岩拳を習得してスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_PSYCHOLOGIST,相手を操る精神魔法を学ぶデバフ系魔法使い。\n初心者用心理学者の書を持ち、催眠術を習得してスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_REAPER,職業の象徴である大鎌を持って登場する恐ろしい存在。\n呪われた+3の大鎌とローブを装備してスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_FANATIC,特定の神を狂信的に信じる信者たち。\n天子または紫を信仰してスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_ASSASSIN,隠密術と暗殺の達人で、卑怯に敵を奇襲する。\n短剣と毒針、高い隠密能力を持ってスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_FARMER,我々がご飯を食べられるのは農家の皆さんのおかげ。\n選択した武器とパン3つ、そしてミノリコを信仰してスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_MADE,短剣くらい投げるのはメイドの基本素養ですよね？\n箒、投げナイフ4本、メイド服、そしてメイドの基本素養を持ってスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_ENGINEER,道具を使いこなす万能技術者。\n選択した武器と冷気のスペルカードを持ってスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_JOB_MISSING,偶然幻想郷に迷い込んだ我々？\n食料と、戦闘には全く役立たないカメラだけを持ってスタート。\n何の能力も力もないが、死ぬ前に記念写真くらいは撮れそう。
LOC_SYSTEM_MAINMENU_MAINGAME_FAIRIES_SUNNY1,三妖精の中で光を操る太陽の妖精。
LOC_SYSTEM_MAINMENU_MAINGAME_FAIRIES_SUNNY2,適性ボーナス）魔法詠唱適性 +1、破壊魔法適性 +2
LOC_SYSTEM_MAINMENU_MAINGAME_FAIRIES_SUNNY3,ボーナス）ルナが沈黙魔法の代わりに小回復を所持してスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_FAIRIES_STAR1,三妖精の中で気配を探る星の妖精。
LOC_SYSTEM_MAINMENU_MAINGAME_FAIRIES_STAR2,適性ボーナス）戦闘適性 +1、回避適性 +1、錬金術適性 +1
LOC_SYSTEM_MAINMENU_MAINGAME_FAIRIES_STAR3,ボーナス）透明視の特性を持ってスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_FAIRIES_LUNA1,三妖精の中で音を消す月の妖精。
LOC_SYSTEM_MAINMENU_MAINGAME_FAIRIES_LUNA2,適性ボーナス）短剣適性 +1、隠密適性 +1、精神魔法適性 +1
LOC_SYSTEM_MAINMENU_MAINGAME_FAIRIES_LUNA3,ボーナス）沈黙の巻物を5枚持ってスタート。
LOC_SYSTEM_MAINMENU_MAINGAME_FAIRIES_COMMON1,初心者向けヒント）三月精は一人ではなく三人で戦います。
LOC_SYSTEM_MAINMENU_MAINGAME_FAIRIES_COMMON2,危険な時はまず自分の命を最優先にしましょう。仲間は倒れても復活します。
LOC_SYSTEM_MAINMENU_MAINGAME_FAIRIES_COMMON3,もし一人になった時は消耗品を惜しまないでください。一人の時が最も脆いです。
LOC_SYSTEM_MAINMENU_MAINGAME_SELECT_WEAPON,お好きな武器をお選びください。
LOC_SYSTEM_MAINMENU_MAINGAME_SELECT_FANATIC,誰の狂信者になりますか？
LOC_SYSTEM_MAINMENU_CONTINUE_SAMEKEY,同じキーをもう一度押すか、エンターを押して進みます。
LOC_SYSTEM_OPTION_MENU_LANGUAGE,言語
LOC_SYSTEM_OPTION_MENU_RESOLUTION,解像度
LOC_SYSTEM_OPTION_MENU_DISPLAY,画面
LOC_SYSTEM_OPTION_MENU_FULLSCREEN,フルスクリーン
LOC_SYSTEM_OPTION_MENU_WINDOWED,ウィンドウモード
LOC_SYSTEM_OPTION_MENU_BACK,戻る
LOC_SYSTEM_WELCOME_FIRST,幻想郷へようこそ！
LOC_SYSTEM_WELCOME,幻想郷へおかえり！
LOC_SYSTEM_LOS_MON,視界内にモンスターがいる。
LOC_SYSTEM_LOS_NOMON,視界内にモンスターがいない。
LOC_SYSTEM_NOTHING_HAPPEND,何も起こらなかった。
LOC_SYSTEM_CONFUSE_WARNING,あなたは混乱している。
LOC_SYSTEM_DIMENSTION,次元が固定された状態では使用できない。
LOC_SYSTEM_MAP_DANGER,視界内に危険な存在がいる。
LOC_SYSTEM_UNABLE_MOVE,そこへは移動できない。
LOC_SYSTEM_AUTOBATTLE_DANGERHP,自動戦闘を行うには体力が少なすぎる。
LOC_SYSTEM_AUTOBATTLE_NOMON,攻撃可能なモンスターがいない。
LOC_SYSTEM_BLOOD_MAGIC,あなたは血を代償に魔法を詠唱した！
LOC_SYSTEM_TOO_LOW_MP,MPが足りない。
LOC_SYSTEM_TOO_LOW_P_EVOKE,Pが足りず発動できない。
LOC_SYSTEM_DISAPPEAR_P_ITEM,インベントリ内のPアイテムが消えた。
LOC_SYSTEM_SHOULD_P_OVER_ONE,パワーが1以上の時に使用可能。
LOC_SYSTEM_MEMORIZE_SPELL_NOT_ENOUGH_LEVEL,この魔法を習得するにはレベルが足りない。
LOC_SYSTEM_MEMORIZE_SPELL_REQUIRE_LEVEL,残りの魔法レベルが{0}足りない。
LOC_SYSTEM_MEMORIZE_SPELL_TOO_MANY,これ以上魔法を記憶するスペースがない。
LOC_SYSTEM_MEMORIZE_SPELL_ALREADY,すでに記憶している魔法です。
LOC_SYSTEM_MEMORIZE_SPELL_NON_EXIST,存在しないスペルです。
LOC_SYSTEM_MEMORIZE_SPELL_ASK,この魔法を習得しますか？
LOC_SYSTEM_MEMORIZE_SPELL_START,魔法の習得を開始した。
LOC_SYSTEM_MEMORIZE_SPELL_SUCCESS,魔法の習得に成功した。
LOC_SYSTEM_MEMORIZE_HELP,{0}キーを押すと魔法を記憶できます。
LOC_SYSTEM_ALPHABET_ASK,どのアルファベットに変更しますか？
LOC_SYSTEM_NOT_CARRYING_WEAPON,武器を装備している必要がある。
LOC_SYSTEM_ALREADY_EQUIP,すでに装備している。
LOC_SYSTEM_ALREADY_USE,このアイテムはすでに使用中です。
LOC_SYSTEM_ALREADY_EQUIP_JEWERLY,すでに装備しているアクセサリーです。
LOC_SYSTEM_EQUIP_ISNT_ARMOUR,このアイテムは防具ではない。
LOC_SYSTEM_EQUIP_ISNT_JEWERLY,このアイテムはアクセサリーではない。
LOC_SYSTEM_EQUIP_TOO_BIG,この防具はあなたの体には大きすぎる。
LOC_SYSTEM_EQUIP_TOO_SMALL,この防具はあなたの体には小さすぎる。
LOC_SYSTEM_EQUIP_CURSE_ITEM,うっ…このアイテムはひどく冷たい。
LOC_SYSTEM_EQUIP_ALLITEM_CURSE,すべてのアイテムが呪われている。
LOC_SYSTEM_EQUIP_PANALTY_WARN1,不快な防具は命中率に影響します。
LOC_SYSTEM_EQUIP_PANALTY_WARN2,不快な防具は移動速度と命中率に影響します。
LOC_SYSTEM_EQUIP_PANALTY_WARN3,防具によって甚大なペナルティを受けている。
LOC_SYSTEM_EQUIP_CANT_SPELLCARD,スペルカードを宣言中は脱着できません。
LOC_SYSTEM_SHEILD_PANALTY1,盾と武器を同時に装備中。（攻撃速度 -0.1）
LOC_SYSTEM_SHEILD_PANALTY2,この武器は盾と併用するにはやや不便です。（攻撃速度 -0.2）
LOC_SYSTEM_SHEILD_PANALTY3,この武器は盾と併用するには非常に重いです。（攻撃速度 -0.3）
LOC_SYSTEM_CANT_EQUIP_LIKEIT,そのようには装備できない。
LOC_SYSTEM_CANT_EQUIP_HORN,あなたの角がこの装備の着用を妨げている。
LOC_SYSTEM_CANT_EQUIP_GHOSTFOOT,あなたには足がない！
LOC_SYSTEM_CANT_EQUIP_CLAW,爪のせいで手袋が装備できない！
LOC_SYSTEM_CANT_UNEQUIP_EXIST,脱ぐ装備がありません。
LOC_SYSTEM_CANT_BRAND,ここには付与できません。
LOC_SYSTEM_NOT_EQUIP_ITEM,それは装備していない！
LOC_SYSTEM_UNEQUIP_AMULET_YN,本当にチャージ中のお守りを外しますか？チャージは失われます！
LOC_SYSTEM_DO_CANCLE,キャンセルしました。
LOC_SYSTEM_ASK_SUICIDE,本当に自殺しますか？
LOC_SYSTEM_YES,はい
LOC_SYSTEM_NO,いいえ
LOC_SYSTEM_ALL,すべて
LOC_SYSTEM_SELECT,選択
LOC_SYSTEM_LETTER,アルファベット
LOC_SYSTEM_ENTER,エンター
LOC_SYSTEM_ALL_SPELL,すべての魔法を確認
LOC_SYSTEM_DAMAGED_BY_POISON1,毒のダメージを受けている。
LOC_SYSTEM_DAMAGED_BY_POISON2,強い毒のダメージを受けている。
LOC_SYSTEM_DAMAGED_BY_POISON3,非常に強い毒のダメージを受けている。
LOC_SYSTEM_HEALED_POISON1,毒が治った。
LOC_SYSTEM_HEALED_POISON2,毒が少し回復した。
LOC_SYSTEM_OUCH,いてっ！
LOC_SYSTEM_OUCH_THIS_REALLY_HURTS,うわっ！これは本当に痛い！
LOC_SYSTEM_LOW_HEALTH_WARNING,体力が少ないので注意！
LOC_SYSTEM_WAKEUP_WITH_DAMAGE,ダメージで目を覚ました！
LOC_SYSTEM_MORE,次のページ
LOC_SYSTEM_WIN,クリアおめでとうございます！そしてプレイしていただきありがとうございました！
LOC_SYSTEM_WIN_WIZARDMODE,プレイありがとうございます！次はウィザードモードなしで挑戦してみましょう！
LOC_SYSTEM_HELP_MORGUE,記録はゲームのmorgueフォルダに保存されています。
LOC_SYSTEM_HELP_ESC,終了するにはEnterまたはESCを押してください。
LOC_SYSTEM_OR,{0}または{1}
LOC_SYSTEM_LEVELUP_MESSGE,あなたのレベルが上がった！ レベル {0}
LOC_SYSTEM_LEVELUP_STAT_MESSGE,上昇させたい能力値を選んでください。
LOC_SYSTEM_LEVELUP_STAT_MESSGE_S,(S)tr - 力
LOC_SYSTEM_LEVELUP_STAT_MESSGE_D,(D)ex - 敏捷
LOC_SYSTEM_LEVELUP_STAT_MESSGE_I,(I)nt - 知力
LOC_SYSTEM_LEVELUP_STR,強くなった。
LOC_SYSTEM_LEVELUP_DEX,素早くなった。
LOC_SYSTEM_LEVELUP_INT,賢くなった。
LOC_SYSTEM_NOT_REMEMBER_SPELL,まだ覚えている魔法がない。
LOC_SYSTEM_SAVE_QUIT_YN,保存して終了しますか？
LOC_SYSTEM_NONSAVE_QUIT_YN,保存せずに終了しますか？
LOC_SYSTEM_FORBIDZONE_YN,本当に入りますか？
LOC_SYSTEM_CANCLE_QUIT,終了をキャンセルしました。
LOC_SYSTEM_PLEASE_SELECT_YN,YかNを選んでください。
LOC_SYSTEM_WRONG_CHOOSE,無効な選択です。
LOC_SYSTEM_RECORVER_STAT,失った能力値を回復した。
LOC_SYSTEM_RECORVER_STAT_STR,失った力が回復した。
LOC_SYSTEM_RECORVER_STAT_DEX,失った敏捷が回復した。
LOC_SYSTEM_RECORVER_STAT_INT,失った知力が回復した。
LOC_SYSTEM_GAIN_AC,あなたは硬くなった。
LOC_SYSTEM_SWAP_ALLY,位置を入れ替えた。
LOC_SYSTEM_CANT_SWAP_ALLY,移動できない。
LOC_SYSTEM_CANT_MOVE_WITH_OBJECT,動けない！何かに拘束されている！
LOC_SYSTEM_STASIS_PENALTY,転移妨害中は転移を使用できない。
LOC_SYSTEM_LUNATIC_PENALTY,狂気状態では行動できない！
LOC_SYSTEM_LUNATIC_PENALTY_SWAP_WEAPON,狂気状態では武器を変更できない！
LOC_SYSTEM_LUNATIC_PENALTY_SWAP_ARMOUR,狂気状態では防具を変更できない！
LOC_SYSTEM_LUNATIC_PENALTY_EQUIP_JEWELRY,狂気状態ではアクセサリーを装備できない！
LOC_SYSTEM_LUNATIC_PENALTY_PICKUP,狂気状態ではアイテムを拾えない！
LOC_SYSTEM_LUNATIC_PENALTY_DISCRAD,狂気状態ではアイテムを捨てられない！
LOC_SYSTEM_LUNATIC_PENALTY_EAT,狂気状態では食べられない！
LOC_SYSTEM_LUNATIC_PENALTY_DRINK,狂気状態では飲めない！
LOC_SYSTEM_LUNATIC_PENALTY_READ,狂気状態では読めない！
LOC_SYSTEM_LUNATIC_PENALTY_SPELL,狂気状態では魔法を使えない！
LOC_SYSTEM_LUNATIC_PENALTY_THROW,狂気状態では投げられない！
LOC_SYSTEM_GHOST_PENALTY,幽霊状態では行動できない。
LOC_SYSTEM_GHOST_PENALTY_LEARN_SPELL,幽霊状態では魔法を学べない。
LOC_SYSTEM_GHOST_PENALTY_SWAP_WEAPON,幽霊状態では武器を変更できない。
LOC_SYSTEM_GHOST_PENALTY_SWAP_ARMOUR,幽霊状態では防具を変更できない。
LOC_SYSTEM_GHOST_PENALTY_EQUIP_JEWELRY,幽霊状態ではアクセサリーを装備できない。
LOC_SYSTEM_GHOST_PENALTY_PICKUP,幽霊状態ではアイテムを拾えない。
LOC_SYSTEM_GHOST_PENALTY_DISCRAD,幽霊状態ではアイテムを捨てられない。
LOC_SYSTEM_GHOST_PENALTY_EAT,幽霊状態では食べられない。
LOC_SYSTEM_GHOST_PENALTY_DRINK,幽霊状態では飲めない。
LOC_SYSTEM_GHOST_PENALTY_READ,幽霊状態では読めない。
LOC_SYSTEM_GHOST_PENALTY_ATTACK,幽霊状態では敵を攻撃できない。
LOC_SYSTEM_GHOST_PENALTY_SPELL,幽霊状態では魔法を使えない。
LOC_SYSTEM_GHOST_PENALTY_THROW,幽霊状態では投げられない。
LOC_SYSTEM_PURITY_PENALTY_SCROLL,あなたは巻物の効果を受けるにはあまりにも清らかすぎる。
LOC_SYSTEM_PURITY_PENALTY_POTION,あなたはポーションの味を感じるにはあまりにも清らかすぎる。
LOC_SYSTEM_PURITY_PENALTY_SPELLCARD,あなたはスペルカードを使うにはあまりにも清らかすぎる。
LOC_SYSTEM_SILENCE_PENALTY,あなたは声を出せない。
LOC_SYSTEM_DROWNED_PENALTY,溺れている状態では行動できない！
LOC_SYSTEM_DROWNED_PENALTY_WEAPON,溺れている状態では武器を変更できない！
LOC_SYSTEM_DROWNED_PENALTY_ARMOUR,溺れている状態では防具を変更できない！
LOC_SYSTEM_DROWNED_PENALTY_EAT,溺れている状態では食べられない！
LOC_SYSTEM_DROWNED_PENALTY_DRINK,溺れている状態では飲めない！
LOC_SYSTEM_DROWNED_PENALTY_READ,溺れている状態では読めない！
LOC_SYSTEM_DROWNED_PENALTY_MAGIC,溺れている状態では魔法を使えない！
LOC_SYSTEM_CURSED_PENALTY,呪われていて装備を外せない。
LOC_SYSTEM_SHOUT_MENU,何を叫びますか？
LOC_SYSTEM_SHOUT_MENU_ALLY,味方に命令
LOC_SYSTEM_SHOUT_MENU_ATTACK,攻撃しろ！
LOC_SYSTEM_SHOUT_MENU_STOP,攻撃をやめろ！
LOC_SYSTEM_SHOUT_MENU_WAIT,待て。
LOC_SYSTEM_SHOUT_MENU_COME,ついてこい。
LOC_SYSTEM_SHOUT_MENU_OTHRE,その他のキー
LOC_SYSTEM_SHOUT_MENU_SILENCE,黙る。
LOC_SYSTEM_SHOUT,叫ぶ
LOC_SYSTEM_SHOUT_RARE1,うらめしやー！
LOC_SYSTEM_SHOUT_RARE2,こんにちは！
LOC_SYSTEM_SHOUT_RARE3,ばんざーい！
LOC_SYSTEM_SHOUT_RARE4,やっほー！
LOC_SYSTEM_SHOUT_RARE5,わーい！
LOC_SYSTEM_SHOUT_DROWNED,助けて！
LOC_SYSTEM_SHOUT_ATTACK,攻撃！
LOC_SYSTEM_SHOUT_STOP,やめろ！
LOC_SYSTEM_SHOUT_WAIT,待って！
LOC_SYSTEM_SHOUT_COME,こっち来て！
LOC_SYSTEM_SHOUT_FINISH,あなたは声を上げて注意を引いた。
LOC_SYSTEM_SHOUT_WHO,誰を攻撃するよう命じますか？
LOC_SYSTEM_SHOUT_CANCLE,何も叫ばなかった。
LOC_SYSTEM_ALREADY_FULL_POWER,あなたはすでにフルパワーだ！
LOC_SYSTEM_IS_EQUIP_ITEM,装備中のアイテムです。
LOC_SYSTEM_PICKUP_PITEM,Pが増加した。
LOC_SYSTEM_PICKUP_RUNE,あなたは{0}を拾った！（］キーで取得したルーンを表示）
LOC_SYSTEM_PICKUP_YINYANG_ORB,あなたは陰陽玉を拾った。ダンジョン1階に持ち帰れば勝利となる。
